VERTRAG,ZREG,ANREDE,SURNAME,NAME,STRASSE,ORT,TELEFON,EMAIL,BCN,GEBURTSTAG,ERSTELLT,GEAENDERT,BANKNAME,EMAIL_BANK,OFFICER_NAME_1,OFFICER_PHONE_1,OFFICER_NAME_2,OFFICER_PHONE_2,OFFICER_EMAIL_1,OFFICER_EMAIL_2
,77184,,,Qoqoxu,,,411587704,,93776,4.4.1935,,,,,,,,,,
,81612,,,Xezhygu,,,412608289,,41565,18.5.1942,,,,,,,,,,
,45511,,,ZHojexu,,,414820185,,91544,24.9.1932,,,,,,,,,,
,34760,,,Felogu,,,418345798,,82783,14.3.1967,,,,,,,,,,
,91888,,,Nyrymu,,,414885600,,11566,15.7.1988,,,,,,,,,,
,51532,,,Kifegae,,,413291538,,40189,22.3.1968,,,,,,,,,,
,75815,,,Sakumae,,,415313373,,42856,2.6.1968,,,,,,,,,,
,60626,,,Caenarae,,,418318624,,25429,3.1.1923,,,,,,,,,,
,77299,,,Wexemae,,,417387386,,28928,20.9.1922,,,,,,,,,,
,91966,,,Haefuqae,,,413413735,,94704,20.7.1972,,,,,,,,,,
,55280,,,Deraely,,,414143196,,69059,7.2.1960,,,,,,,,,,
,39686,,,Lyteqy,,,411849652,,35458,13.4.1994,,,,,,,,,,
,90132,,,Tubuty,,,415526690,,56590,23.7.1934,,,,,,,,,,
,63863,,,Ranyqy,,,411084178,,54546,5.1.1946,,,,,,,,,,
,91551,,,Baesety,,,414981360,,41388,30.1.1987,,,,,,,,,,
,61235,,,Livucy,,,411916757,,68026,14.6.1996,,,,,,,,,,
,52364,,,Gaekyta,,,416938092,,40248,8.7.1995,,,,,,,,,,
,54454,,,Gaekyta,,,413990782,,76083,1.2.1967,,,,,,,,,,
,47368,,,Popica,,,418467600,,70337,27.9.1998,,,,,,,,,,
,82964,,,Mybote,,,418732476,,45326,16.1.1983,,,,,,,,,,
,89029,,,SHugyca,,,415754661,,34089,12.2.1925,,,,,,,,,,
,54610,,,Dilija,,,418738476,,53971,29.7.1975,,,,,,,,,,
,81793,,,Xuvoce,,,413380885,,96132,7.8.1974,,,,,,,,,,
,27929,,,Kicyje,,,412000929,,81846,20.3.1956,,,,,,,,,,
,46716,,,Rahine,,,413717159,,89895,24.7.1978,,,,,,,,,,
,49525,,,Noshoji,,,417219924,,75970,24.8.1971,,,,,,,,,,
,46303,,,Vewyni,,,412013175,,72656,28.6.1937,,,,,,,,,,
,26234,,,Suleji,,,419659617,,66660,24.10.1994,,,,,,,,,,
,76358,,,Cipuni,,,419363430,,10623,18.3.1987,,,,,,,,,,
,64809,,,Myshasi,,,417287045,,33322,12.4.1939,,,,,,,,,,
,77377,,,Hihelo,,,413030378,,88760,22.7.1987,,,,,,,,,,
,15012,,,Qamuso,,,417009435,,68167,25.8.1969,,,,,,,,,,
,10152,,,Xaeqawo,,,412702028,,53156,4.4.1928,,,,,,,,,,
,11527,,,Tedeso,,,412948489,,96974,8.7.1994,,,,,,,,,,
,68638,,,Fyjuwo,,,415124219,,72059,9.6.1974,,,,,,,,,,
,82555,,,Bezhysu,,,417790062,,45301,18.9.1936,,,,,,,,,,
